target_n,depth,d_model,n_heads,d_ff,active_n,depth_over_d_model,d_model_over_depth,train_ce,val_ce,test_ce,aofe,log10_aofe,aofe_ratio,wtw_aofe_ratio,steps_run,elapsed_s,param_budget_label,train_mse,val_mse,test_mse,row_source
300000,1,128,32,512,295680,0.0078125,128.0,2.214072,2.2108,2.218648,145453628416.0,11.162724559418706,0.949501,0.63108,1647,49.3,"N=300,000",,,,
300000,2,96,24,384,295872,0.020833333333333332,48.0,2.228913,2.228178,2.235294,85913868288.0,10.934063273666087,0.941481,0.629769,1647,69.9,"N=300,000",,,,
300000,3,80,20,320,292960,0.0375,26.666666666666668,2.240357,2.239913,2.247202,124471599104.0,11.095070269026278,0.941734,0.648775,1647,84.5,"N=300,000",,,,
300000,4,68,17,272,275400,0.058823529411764705,17.0,2.267655,2.267379,2.272941,65504554496.0,10.816271497300404,0.939383,0.599299,1647,98.4,"N=300,000",,,,
300000,5,64,16,256,296320,0.078125,12.8,2.252933,2.25199,2.256589,100687311360.0,11.002974744103327,0.941814,0.604754,1647,107.5,"N=300,000",,,,
300000,6,56,14,224,270256,0.10714285714285714,9.333333333333334,2.28005,2.278946,2.285057,81576203776.0,10.911563491156413,0.940527,0.571727,1647,119.4,"N=300,000",,,,
300000,8,48,12,192,259680,0.16666666666666666,6.0,2.343306,2.343737,2.348955,95413509120.0,10.97960986863404,0.94254,0.56248,1647,139.2,"N=300,000",,,,
300000,10,44,11,176,267960,0.22727272727272727,4.4,2.319943,2.319143,2.324533,47295481600.0,10.674819652156003,0.936759,0.52987,1647,162.0,"N=300,000",,,,
300000,12,40,10,160,263120,0.3,3.3333333333333335,2.391163,2.392914,2.39786,25616198400.0,10.408514678242133,0.93708,0.531704,1647,178.6,"N=300,000",,,,
300000,16,36,9,144,278856,0.4444444444444444,2.25,2.397252,2.397545,2.403475,29346254208.0,10.467552675239054,0.940788,0.553918,1647,221.9,"N=300,000",,,,
300000,20,32,8,128,272960,0.625,1.6,2.433334,2.433946,2.438291,27452841216.0,10.438587298169583,0.940682,0.545592,1647,227.4,"N=300,000",,,,
300000,24,28,7,112,250040,0.8571428571428571,1.1666666666666667,2.477859,2.478634,2.483022,18904648448.0,10.27656860560687,0.939459,0.455377,1647,258.7,"N=300,000",,,,
600000,1,192,48,768,590976,0.005208333333333333,192.0,1.831551,1.818605,1.837459,20972873984.0,10.321657947388038,0.924185,0.725301,3296,60.0,"N=600,000",,,,
600000,2,140,35,560,579320,0.014285714285714285,70.0,1.810994,1.801607,1.815386,169018734592.0,11.227934845909418,0.922111,0.72656,3296,84.0,"N=600,000",,,,
600000,3,116,29,464,575128,0.02586206896551724,38.666666666666664,1.777609,1.765382,1.783929,398017400832.0,11.599902059310176,0.930847,0.737898,3296,100.5,"N=600,000",,,,
600000,4,100,25,400,558600,0.04,25.0,1.742042,1.72938,1.746123,239923296256.0,11.380072419473535,0.926727,0.738635,3296,115.2,"N=600,000",,,,
600000,5,92,23,368,580520,0.05434782608695652,18.4,1.741009,1.72818,1.744998,245004627968.0,11.389174287964458,0.931619,0.685618,3296,130.3,"N=600,000",,,,
600000,6,84,21,336,574728,0.07142857142857142,14.0,1.729328,1.71543,1.734227,140111276032.0,11.146473088329403,0.92713,0.685693,3296,142.3,"N=600,000",,,,
600000,8,72,18,288,555408,0.1111111111111111,9.0,1.786798,1.774413,1.791254,170828935168.0,11.232561433797262,0.932929,0.65821,3296,166.2,"N=600,000",,,,
600000,10,64,16,256,543360,0.15625,6.4,1.792457,1.779334,1.797134,256625121280.0,11.409299167624521,0.931988,0.658638,3296,181.1,"N=600,000",,,,
600000,12,60,15,240,567480,0.2,5.0,1.846219,1.835787,1.851936,121807522304.0,11.085674109267643,0.93547,0.638072,3296,204.7,"N=600,000",,,,
600000,16,52,13,208,562536,0.3076923076923077,3.25,1.910917,1.902936,1.917182,166876401664.0,11.222394926543162,0.934834,0.620557,3296,240.5,"N=600,000",,,,
600000,20,48,12,192,593760,0.4166666666666667,2.4,1.914165,1.905336,1.920579,139850299392.0,11.145663400447656,0.930531,0.546948,3296,277.9,"N=600,000",,,,
600000,24,44,11,176,595672,0.5454545454545454,1.8333333333333333,1.973227,1.964944,1.977574,158773161984.0,11.200777093888979,0.938109,0.55512,3296,310.0,"N=600,000",,,,
1000000,1,256,64,1024,984576,0.00390625,256.0,1.565,1.545128,1.567999,383632834560.0,11.583915770703959,0.929363,0.76801,5493,295.4,"N=1,000,000",,,,
1000000,2,188,47,752,994520,0.010638297872340425,94.0,1.544675,1.52603,1.547967,381559787520.0,11.58156259826895,0.925145,0.773751,5493,432.8,"N=1,000,000",,,,
1000000,3,156,39,624,998088,0.019230769230769232,52.0,1.447801,1.428545,1.451391,248127168512.0,11.394674319648471,0.925107,0.765829,5493,529.7,"N=1,000,000",,,,
1000000,4,136,34,544,994704,0.029411764705882353,34.0,1.444366,1.424392,1.445884,138728214528.0,11.142164796817239,0.923418,0.778644,5493,614.1,"N=1,000,000",,,,
1000000,5,120,30,480,958800,0.041666666666666664,24.0,1.443274,1.422004,1.445873,133661605888.0,11.126006674684632,0.923024,0.764921,5493,690.9,"N=1,000,000",,,,
1000000,6,112,28,448,992096,0.05357142857142857,18.666666666666668,1.456478,1.434802,1.461597,77112178176.0,10.887122970748498,0.92191,0.780321,5493,769.9,"N=1,000,000",,,,
1000000,8,96,24,384,961728,0.08333333333333333,12.0,1.459988,1.439966,1.463528,102533121024.0,11.010864177142494,0.927483,0.74192,5493,865.9,"N=1,000,000",,,,
1000000,10,84,21,336,914760,0.11904761904761904,8.4,1.4993,1.479061,1.500546,67334565888.0,10.82823806453079,0.922497,0.723315,5493,926.3,"N=1,000,000",,,,
1000000,12,80,20,320,987040,0.15,6.666666666666667,1.488907,1.467793,1.489036,74304262144.0,10.871013725907698,0.924794,0.709662,5493,1052.2,"N=1,000,000",,,,
