target_n,depth_star,d_model_star,alpha_star,best_test_ce,best_wtw_aofe_ratio
300000,1,128,0.007800,2.218648,0.631080
600000,6,84,0.071400,1.734227,0.685693
1000000,5,120,0.041700,1.445873,0.764921
1300000,6,128,0.046900,1.348691,0.789936
1600000,5,156,0.032100,1.290941,0.842691
2000000,5,176,0.028400,1.234007,0.847690
2300000,6,172,0.034900,1.213840,0.867787
2700000,5,204,0.024500,1.184663,0.881024
3000000,5,216,0.023100,1.159813,0.894669
5000000,8,224,0.035700,1.077710,0.904336
10000000,10,284,0.035200,0.973154,0.922661
