blocks,width,depth_width_ratio,param_count,param_error,train_visual_token_budget,visual_tokens_per_image,train_image_budget,aofe,log10_aofe,aofe_ratio,aofe_total_energy,benign_score,steps,planned_steps,images_per_step,effective_train_images,final_train_loss,final_val_loss,best_val_loss
2,288,0.006944444444444444,3005859,5859,60117180,1024,58709,118.92031860351562,2.075256064067742,0.9423087239265442,126.20101928710938,0.4540686521737033,459.0,459.0,128.0,58752.0,0.00182380061596632,0.0018617296639907484,0.0018617296639907484
3,232,0.01293103448275862,2923899,-76101,58477980,1024,57108,118.73075866699219,2.0745632428709966,0.9441178441047668,125.75840759277344,0.45509234165269324,447.0,447.0,128.0,57216.0,0.0018694166792556643,0.001859734033738884,0.001859734033738884
4,200,0.02,2896203,-103797,57924060,1024,56567,121.54608154296875,2.0847409624249567,0.9461191296577454,128.46804809570312,0.4538305461975602,442.0,442.0,128.0,56576.0,0.0017964448779821396,0.0018203484990711634,0.0018203484990711634
5,184,0.02717391304347826,3063051,63051,61261020,1024,59826,111.98042297363281,2.0491421035837534,0.947160005569458,118.22756958007812,0.46222270476652927,468.0,468.0,128.0,59904.0,0.001825445331633091,0.0017918491745755698,0.0017918491745755698
6,168,0.03571428571428571,3063819,63819,61276380,1024,59841,117.479248046875,2.069961158057283,0.9480080008506775,123.92221069335938,0.45798347334227746,468.0,468.0,128.0,59904.0,0.0018024839228019118,0.0018203304886507492,0.0018203304886507492
7,152,0.046052631578947366,2926155,-73845,58523100,1024,57152,115.71222686767578,2.063379251610399,0.9479972720146179,122.05966186523438,0.4594391803032513,447.0,447.0,128.0,57216.0,0.0018582632765173912,0.0018890593588973086,0.0018890593588973086
8,144,0.05555555555555555,3001107,1107,60022140,1024,58616,116.92214965820312,2.0678967914280726,0.9481871128082275,123.31126403808594,0.4585272905005173,458.0,458.0,128.0,58624.0,0.0018235500901937485,0.0018439265065050374,0.0018439265065050374
9,136,0.0661764705882353,3011451,11451,60229020,1024,58818,113.95718383789062,2.0567417082159447,0.9478391408920288,120.22840118408203,0.4608450040691798,460.0,460.0,128.0,58880.0,0.0018288911087438464,0.0018466977392866586,0.0018466977392866586
10,128,0.078125,2964099,-35901,59281980,1024,57893,112.94161224365234,2.052853983007059,0.9474278092384338,119.20867156982422,0.4615173885142205,453.0,453.0,128.0,57984.0,0.0018548003863543272,0.0018723645092298586,0.0018723645092298586
11,120,0.09166666666666666,2865963,-134037,57319260,1024,55976,117.74114990234375,2.0709282729727017,0.9487913846969604,124.09593200683594,0.45814787362723264,438.0,438.0,128.0,56064.0,0.0018169262912124395,0.0018763951763200264,0.0018763951763200264
12,120,0.1,3125883,125883,62517660,1024,61053,108.29066467285156,2.0345910193601826,0.9476961493492126,114.26728057861328,0.46579196523104405,477.0,477.0,128.0,61056.0,0.0018575151916593313,0.0018078155068603035,0.0018078155068603035
13,112,0.11607142857142858,2950419,-49581,59008380,1024,57626,114.62782287597656,2.059290043939705,0.9485738277435303,120.84227752685547,0.4606314834256072,451.0,451.0,128.0,57728.0,0.0018820896511897445,0.0018454264015114556,0.0018454264015114556
14,112,0.125,3176883,176883,63537660,1024,62049,111.74491882324219,2.048227784357012,0.9486735463142395,117.79069519042969,0.4631679901813513,485.0,485.0,128.0,62080.0,0.001816038740798831,0.0018092540703946725,0.0018092540703946725
15,104,0.14423076923076922,2935611,-64389,58712220,1024,57337,115.25747680664062,2.0616691078624876,0.9483869075775146,121.53001403808594,0.4600092730500241,448.0,448.0,128.0,57344.0,0.001840356970205903,0.0018843581735078867,0.0018843581735078867
16,104,0.15384615384615385,3130923,130923,62618460,1024,61151,115.81695556640625,2.063772144623534,0.9507201313972473,121.82024383544922,0.4606710745050172,478.0,478.0,128.0,61184.0,0.0018036903347820044,0.0018212634798449774,0.0018212634798449774
17,96,0.17708333333333334,2835363,-164637,56707260,1024,55379,104.90389251708984,2.0207916032300592,0.9482958316802979,110.62359619140625,0.4692694833868716,433.0,433.0,128.0,55424.0,0.0018973264377564192,0.0018704311514738947,0.0018704311514738947
18,96,0.1875,3001827,1827,60036540,1024,58630,111.37987518310547,2.0468067268656553,0.9507519602775574,117.14924621582031,0.464505000788949,459.0,459.0,128.0,58752.0,0.001815594150684774,0.001837621826174048,0.001837621826174048
19,96,0.19791666666666666,3168291,168291,63365820,1024,61881,105.61026000976562,2.0237061118452875,0.948382556438446,111.35829162597656,0.4686365035354254,484.0,484.0,128.0,61952.0,0.0018020421266555786,0.0018310082038321223,0.0018310082038321223
20,88,0.22727272727272727,2803419,-196581,56068380,1024,54755,109.21900939941406,2.03829823322938,0.9491631388664246,115.06874084472656,0.46566450551380645,428.0,428.0,128.0,54784.0,0.0018819400575011969,0.001894640062043133,0.001894640062043133
21,88,0.23863636363636365,2943339,-56661,58866780,1024,57488,111.85433959960938,2.048652838031254,0.9483534693717957,117.94583129882812,0.46291565450550376,450.0,450.0,128.0,57600.0,0.0018730203155428171,0.001853163000002193,0.001853163000002193
22,88,0.25,3083259,83259,61665180,1024,60220,109.3040542602539,2.038636270917696,0.9483649730682373,115.25526428222656,0.4651957716034008,471.0,471.0,128.0,60288.0,0.0018452717922627926,0.0018405897814470034,0.0018405897814470034
23,88,0.26136363636363635,3223179,223179,64463580,1024,62953,111.84507751464844,2.0486168748406146,0.949694037437439,117.76959228515625,0.4635781580737621,492.0,492.0,128.0,62976.0,0.0018721738597378135,0.0018613011634442955,0.0018613011634442955
24,80,0.3,2780883,-219117,55617660,1024,54315,111.56379699707031,2.047523286759426,0.9479021430015564,117.69548034667969,0.4629506043380743,425.0,425.0,128.0,54400.0,0.001920349895954132,0.001895427325507626,0.001895427325507626
