blocks,width,depth_width_ratio,param_count,param_error,param_error_pct,target_params
2,288,0.006944444444444444,3008451,8451,0.2817,3000000
3,232,0.01293103448275862,2925987,-74013,-2.4671,3000000
4,200,0.02,2898003,-101997,-3.3999,3000000
5,184,0.02717391304347826,3064707,64707,2.1569,3000000
6,168,0.03571428571428571,3065331,65331,2.1777,3000000
7,152,0.046052631578947366,2927523,-72477,-2.4159,3000000
8,144,0.05555555555555555,3002403,2403,0.0801,3000000
9,136,0.0661764705882353,3012675,12675,0.4225,3000000
10,128,0.078125,2965251,-34749,-1.1583,3000000
11,120,0.09166666666666666,2867043,-132957,-4.4319,3000000
12,120,0.1,3126963,126963,4.2321,3000000
13,112,0.11607142857142858,2951427,-48573,-1.6191,3000000
14,112,0.125,3177891,177891,5.9297,3000000
15,104,0.14423076923076922,2936547,-63453,-2.1151,3000000
16,104,0.15384615384615385,3131859,131859,4.3953,3000000
17,96,0.17708333333333334,2836227,-163773,-5.4591,3000000
18,96,0.1875,3002691,2691,0.0897,3000000
19,96,0.19791666666666666,3169155,169155,5.6385,3000000
20,88,0.22727272727272727,2804211,-195789,-6.5263,3000000
21,88,0.23863636363636365,2944131,-55869,-1.8623,3000000
22,88,0.25,3084051,84051,2.8017,3000000
23,88,0.26136363636363635,3223971,223971,7.4657,3000000
24,80,0.3,2781603,-218397,-7.2799,3000000
