n_layer,n_embd,n_head,head_dim,param_count,param_error,train_token_budget,aofe,aofe_ratio,steps,planned_steps,tokens_per_step,effective_train_tokens,final_train_loss,final_val_loss,best_val_loss
2,344,8,43,3025824,25824,60000000,2629100.5,0.9815269112586975,7325.0,7325.0,8192.0,60006400.0,1.3048807382583618,1.2542887544631958,1.2529198288917542
3,280,4,70,2977240,-22760,60000000,383002.3125,0.9730117917060852,7325.0,7325.0,8192.0,60006400.0,1.279403805732727,1.2692722916603087,1.2711040687561035
4,248,4,62,3092560,92560,60000000,4659.5791015625,0.9016939401626587,7325.0,7325.0,8192.0,60006400.0,1.2941807508468628,1.2701509833335876,1.2705494046211243
5,216,3,72,2924424,-75576,60000000,5420.7001953125,0.9023463129997253,7325.0,7325.0,8192.0,60006400.0,1.2846806049346924,1.2516580104827881,1.2644607782363892
6,200,4,50,2998400,-1600,60000000,4958.1162109375,0.9033758044242859,7325.0,7325.0,8192.0,60006400.0,1.3394899368286133,1.268557574748993,1.2651220297813415
7,184,4,46,2955224,-44776,60000000,2911.7607421875,0.8874432444572449,7325.0,7325.0,8192.0,60006400.0,1.364208698272705,1.2726862740516662,1.2642389369010925
8,176,4,44,3082464,82464,60000000,1915.2894287109375,0.8652353882789612,7325.0,7325.0,8192.0,60006400.0,1.3116388320922852,1.2763606882095337,1.276127939224243
9,160,2,80,2865760,-134240,60000000,3037.27783203125,0.8793746829032898,7325.0,7325.0,8192.0,60006400.0,1.325008749961853,1.2867983984947204,1.2820242214202882
10,152,2,76,2870368,-129632,60000000,3229.1845703125,0.8773924112319946,7325.0,7325.0,8192.0,60006400.0,1.3026320934295654,1.290539219379425,1.2939695978164674
11,152,2,76,3149592,149592,60000000,4536.8173828125,0.8865146040916443,7325.0,7325.0,8192.0,60006400.0,1.2887628078460693,1.2891427397727966,1.2848046517372131
12,144,2,72,3082464,82464,60000000,1804.436279296875,0.8466863036155701,7325.0,7325.0,8192.0,60006400.0,1.321800708770752,1.2883747053146362,1.2865371203422546
