step,lr,train_ce,val_ce,test_ce
200,0.00019999999999999998,2.575100266933441,2.5773783057635646,2.5838012574355
400,0.0002991924717534617,2.438411200046539,2.437982928635923,2.443232862523185
600,0.00029268761225709943,2.3772222280502318,2.379112962523706,2.3848484748420007
800,0.00027993001752376175,2.267852509021759,2.2672448513446164,2.2753988591820486
1000,0.0002614787400238513,2.192931091785431,2.183307228292555,2.1946494563250516
1200,0.000238142335953424,2.1127570390701296,2.1065613140919504,2.12080457538449
1400,0.00021094343337196795,2.0605743527412415,2.055436559918733,2.0689156903097943
1600,0.00018107391946497821,1.9960980713367462,1.986136016624512,2.001596673821061
1800,0.00014984271067700942,1.9508528769016267,1.9400251880487516,1.9560238720640226
2000,0.00011861839448803158,1.9155969321727753,1.9045269004369185,1.921363290793547
2200,8.876925633640144e-05,1.8938238084316255,1.8781559712965503,1.896484997931143
2400,6.160331977764505e-05,1.8651234030723571,1.855839975703305,1.8742068831617285
2600,3.831102738823709e-05,1.8495808303356172,1.8390222636851532,1.857852281108528
2800,1.991307420308205e-05,1.8529279112815857,1.8283092012158682,1.847740903620771
3000,7.215679685448794e-06,1.8395994186401368,1.821117000001334,1.8400452228656516
3200,7.752582630672798e-07,1.837437891960144,1.818765205745714,1.837627519750425
3296,8.246645976095478e-11,1.8297828674316405,1.8186052015697605,1.8374593797487915
