step,lr,train_mse,val_mse,test_mse
250,0.00025,0.16560164242982864,0.16483961168924968,0.16357634862263998
500,0.00029940657709276274,0.08494007711609204,0.08623030916849772,0.08550553369522094
750,0.000296987145455455,0.05335657484829426,0.05360576462745666,0.053560568253199256
1000,0.00029273290616443475,0.04481283612549305,0.04481990544001262,0.0443752597173055
1250,0.00028669696393704127,0.04364890269935131,0.04353349510828654,0.04334182627995809
1500,0.00027895466408977724,0.041740842660268146,0.0416921017964681,0.04127489272753398
1750,0.0002696026520195791,0.03907011598348618,0.03941954215367635,0.03905592131614685
2000,0.0002587576668009479,0.037747343505422276,0.03817705698808034,0.03780943544705709
2250,0.0002465550839581982,0.036280778050422666,0.0364114576180776,0.036085340340932213
2500,0.0002331472256030736,0.03457396092514197,0.034697078943252566,0.03437046567598979
2750,0.0002187014590319023,0.033138389016191164,0.033324045260747275,0.03305688444773356
3000,0.0002033981075170793,0.03140592630952597,0.0316363323132197,0.031367038647333784
3250,0.00018742819937199787,0.03083640765398741,0.030960760354995728,0.03067387874921163
3500,0.00017099108338734903,0.030007305492957433,0.029964520692825316,0.0297143341700236
3750,0.0001542919404047646,0.02877735042323669,0.028931800921758014,0.02871429435412089
4000,0.00013753922209027244,0.027889651122192542,0.02794791801770528,0.027637112776438395
4250,0.0001209420488787832,0.026852667952577274,0.027021413962046305,0.02683530362447103
4500,0.00010470759957048439,0.026384904918571313,0.026504508177439372,0.02622677195072174
4750,8.903852516422597e-05,0.02531141017874082,0.025558010498682657,0.02532140894730886
5000,7.413041921043793e-05,0.024814316692451637,0.02503057869275411,0.024858607530593872
5250,6.016937626059692e-05,0.024287318748732408,0.024541970491409302,0.02429819166660309
5500,4.7329668890572034e-05,0.024312891128162543,0.02426581104596456,0.02400252636273702
5750,3.577157229504756e-05,0.02382426311572393,0.023984905044237774,0.023761979778607688
6000,2.5639363608123177e-05,0.023310494671265284,0.02345806129773458,0.023292375802993773
6250,1.7059520924125996e-05,0.023440693939725556,0.023346805175145466,0.023129652937253317
6500,1.0139144499853723e-05,0.022927227367957433,0.02307762130101522,0.022887566884358723
6750,4.964619846028983e-06,0.02281278974066178,0.02297312569618225,0.022792115052541098
7000,1.6005393962944368e-06,0.02273031398653984,0.022911523183186847,0.02273550804456075
7250,8.889621431395488e-08,0.0226648710668087,0.022894843657811484,0.02271036426226298
7326,1.4994939256940395e-11,0.02275102778027455,0.022893250783284504,0.02271054228146871
