step,lr,train_nll,val_nll,test_nll
1000,0.0003,9.756585113791515e-06,9.84943669900531e-06,9.70942066196585e-06
2000,0.0002990784152305755,2.0228980815772956e-06,2.031942124085617e-06,2.0054285572769e-06
3000,0.00029632132066906807,8.02899339760188e-07,8.102617099211784e-07,7.993570546204865e-07
4000,0.00029176266179847273,3.850469857979988e-07,3.894759368904488e-07,3.84786545055249e-07
5000,0.0002854585665780031,2.0177796926645898e-07,2.0349765427454257e-07,2.009480685046583e-07
6000,0.00027748665344971764,1.0928253871611559e-07,1.0934470481060998e-07,1.0798124910706974e-07
7000,0.0002679450756704446,5.97617935937933e-08,6.088613226324923e-08,5.974321401254201e-08
8000,0.0002569513128111782,3.320397134132236e-08,3.334283218805467e-08,3.2547110225777945e-08
9000,0.0002446407243034715,1.652864455081726e-08,1.6783175121304338e-08,1.607686012761178e-08
10000,0.00023116488284211637,6.915069192814371e-09,7.1212640243345505e-09,6.732343739912494e-09
11000,0.0002166897081638997,3.6600973052358653e-09,3.7804241170391606e-09,3.5911794210363724e-09
