step,lr,train_mse,val_mse,test_mse
200,0.00019999999999999998,0.0016271330649033188,0.001464693394320255,0.001576834961517968
400,0.0002969194962385296,0.0003286108854808845,0.0003075186951636252,0.00032761470224200326
600,0.00027267645397263397,0.00021989839151501656,0.00020786850522695616,0.00021693173303819177
800,0.00022808608886496618,0.00018210382186225615,0.00017348784339529547,0.00017951358908745036
1000,0.00017054423381660278,0.00016263567376881838,0.00015783265354746783,0.0001615341131003912
1200,0.00010959487761812853,0.00015266105547198094,0.0001488841173175553,0.00015207297771915117
1400,5.534718292797153e-05,0.00014894867199473084,0.00014314984913322735,0.000145778959532353
1600,1.6798763563113688e-05,0.00014748382309335284,0.00014065012378110126,0.00014310366003139114
1800,3.433251488557387e-07,0.00014410628427867777,0.00013995219408322802,0.00014245181095744059
1832,3.153866644178826e-10,0.00014176249314914457,0.00013995293755380607,0.00014244863599411804
