step,lr,train_mse,val_mse,test_mse
250,0.00025,0.163330673178037,0.16493856048583985,0.1636574331919352
500,0.00029940657709276274,0.09397700056433678,0.09381064955393473,0.09338412507375081
750,0.000296987145455455,0.053055513401826224,0.053373965660731,0.05309465630849203
1000,0.00029273290616443475,0.046091765413681665,0.04650735394159953,0.046086710691452024
1250,0.00028669696393704127,0.04295868749419848,0.04307494656244914,0.04279355891545614
1500,0.00027895466408977724,0.040680531536539395,0.04078784306844076,0.04031197460492452
1750,0.0002696026520195791,0.038040276740988095,0.038379576643308,0.0380628342628479
2000,0.0002587576668009479,0.036603419482707976,0.0365369328657786,0.03622486929098765
2250,0.0002465550839581982,0.034446724752585096,0.03466266183058421,0.03428811005751292
2500,0.0002331472256030736,0.03277855919053157,0.03313002773125966,0.03271868085861206
2750,0.0002187014590319023,0.032559439353644845,0.032456116437911985,0.03209945261478424
3000,0.0002033981075170793,0.02964137364178896,0.029970713218053183,0.029521248976389566
3250,0.00018742819937199787,0.029112950215737024,0.029293292721112568,0.028877664923667907
3500,0.00017099108338734903,0.028027389322717984,0.02811285400390625,0.02774685573577881
3750,0.0001542919404047646,0.026468720162908237,0.026728978077570596,0.026360448241233826
4000,0.00013753922209027244,0.025198374626537165,0.025543915232022603,0.025215688308080037
4250,0.0001209420488787832,0.025209579368432364,0.025437918901443483,0.025077109416325887
4500,0.00010470759957048439,0.024102632825573286,0.02426966961224874,0.02391805080572764
4750,8.903852516422597e-05,0.023396290217836697,0.023613277991612752,0.023301689545313517
5000,7.413041921043793e-05,0.022634771031637985,0.022936752796173097,0.022650325377782186
5250,6.016937626059692e-05,0.022367308412988982,0.022435301939646404,0.02211582100391388
5500,4.7329668890572034e-05,0.021591024473309517,0.02185664745171865,0.02157233472665151
5750,3.577157229504756e-05,0.021597091170648734,0.021685178796450297,0.02141666587193807
6000,2.5639363608123177e-05,0.021239102942248185,0.021366836468378704,0.021036036332448323
6250,1.7059520924125996e-05,0.020848616709311804,0.02110894282658895,0.02084490696589152
6500,1.0139144499853723e-05,0.02084587241212527,0.020946210265159606,0.02068324375152588
6750,4.964619846028983e-06,0.020620858731369176,0.02084070869286855,0.020591254989306133
7000,1.6005393962944368e-06,0.02076191796610753,0.02078305713335673,0.02051172693570455
7250,8.889621431395488e-08,0.020492716630299886,0.02076487672328949,0.020490392128626505
7326,1.4994939256940395e-11,0.02067086814592282,0.02076354201634725,0.020489654143651326
