n_layer,n_embd,n_head,head_dim,param_count,param_error,train_token_budget,aofe,aofe_ratio,steps,planned_steps,tokens_per_step,effective_train_tokens,final_train_loss,final_val_loss,best_val_loss
2,344,8,43,3025824,25824,60000000,980112.875,0.9832088947296143,7325.0,7325.0,8192.0,60006400.0,1.425978660583496,1.4220404291152955,1.4131223893165588
3,280,4,70,2977240,-22760,60000000,184836.5,0.9710193276405334,7325.0,7325.0,8192.0,60006400.0,1.4148145914077759,1.430427532196045,1.4294737648963929
4,248,4,62,3092560,92560,60000000,4633.4521484375,0.8921583890914917,7325.0,7325.0,8192.0,60006400.0,1.4006221294403076,1.4242916369438172,1.4197638988494874
5,216,3,72,2924424,-75576,60000000,5698.33203125,0.9224970936775208,7325.0,7325.0,8192.0,60006400.0,1.4175165891647339,1.4298964262008667,1.4215612363815309
6,200,4,50,2998400,-1600,60000000,4004.19091796875,0.9056164026260376,7325.0,7325.0,8192.0,60006400.0,1.4189224243164062,1.4230650496482848,1.4237209510803224
7,184,4,46,2955224,-44776,60000000,4127.82177734375,0.8891417980194092,7325.0,7325.0,8192.0,60006400.0,1.3848618268966675,1.43416081905365,1.4078180623054504
8,176,4,44,3082464,82464,60000000,4390.9892578125,0.8782795071601868,7325.0,7325.0,8192.0,60006400.0,1.4576584100723267,1.4200336647033691,1.425863790512085
9,160,2,80,2865760,-134240,60000000,6635.1005859375,0.8963086605072021,7325.0,7325.0,8192.0,60006400.0,1.4415836334228516,1.437287724018097,1.428636589050293
10,152,2,76,2870368,-129632,60000000,3640.587158203125,0.8675681948661804,7325.0,7325.0,8192.0,60006400.0,1.5035829544067383,1.4589459419250488,1.455348596572876
11,152,2,76,3149592,149592,60000000,1664.0369873046875,0.8472896814346313,7325.0,7325.0,8192.0,60006400.0,1.365453839302063,1.4344234824180604,1.4203980326652528
12,144,2,72,3082464,82464,60000000,1439.816650390625,0.8388388156890869,7325.0,7325.0,8192.0,60006400.0,1.4383232593536377,1.4416829061508178,1.4417045354843139
